"",[Omission -> Commission]: Estimates,[Passengers -> Pedestrians]: Estimates,Law [Illegal -> Legal]: Estimates,Gender [Male -> Female]: Estimates,Fitness [Large -> Fit]: Estimates,Social Status [Low -> High]: Estimates,Age [Elderly -> Young]: Estimates,No. Characters [Less -> More]: Estimates,Species [Pets -> Humans]: Estimates,[Omission -> Commission]: se,[Passengers -> Pedestrians]: se,Law [Illegal -> Legal]: se,Gender [Male -> Female]: se,Fitness [Large -> Fit]: se,Social Status [Low -> High]: se,Age [Elderly -> Young]: se,No. Characters [Less -> More]: se,Species [Pets -> Humans]: se
ar,0.0694288406640668,-0.113869198009863,0.68297964486791,-0.0460688964615112,0.11707482993796,0.0197879853989173,0.0163454950892371,-0.0139012797302897,0.190024629234771,0.0151090694500816,0.0216164670074928,0.0217672347789662,0.0318217454175116,0.0321854777547692,0.0309789612226386,0.0318841705670939,0.0342956247207689,0.0321854427447575
de,0.133330852525899,-0.0774548023393348,0.614473127380447,0.00338166458831458,0.22384407904677,0.0584293749687125,0.0636243210460588,-0.0795123342265525,0.121809957360755,0.0150196992652471,0.0220316299751135,0.0233012889809173,0.0333518627578504,0.0309718322778068,0.0299936504515095,0.0303127828897898,0.0338680127667259,0.0335626293832243
en,0.137631971536463,-0.185295269180698,0.891874735505707,-0.0708228467806879,0.185077207354206,0.099519458424793,0.0335621543055656,-0.0807249540246447,0.106686510640781,0.0151305289785352,0.0221696082127906,0.0131378943412833,0.0325400666634957,0.031113069521178,0.0305194052732932,0.0316244633846018,0.0323050781700027,0.0331276632537098
es,0.0714344780186159,-0.0128078288726197,0.88290698918969,-0.0406739019438086,0.150201606293292,0.151909154168197,0.117099786721562,-0.0555842365853273,0.194765214823146,0.0145936424594007,0.0235291477889718,0.0133832681011821,0.0324811809925373,0.0306675201176144,0.0299005132322098,0.0302842083471265,0.0334044588296792,0.0331225386089682
fr,0.12332755146851,-0.153812026639461,0.810198899703759,-0.0502820477710054,0.154437997062413,0.062146874001888,0.0703610462240489,-0.0449265010281056,0.154349875185712,0.0147978508685958,0.022304918176839,0.0167817398862239,0.032514095594447,0.0316545342439626,0.0303741132729569,0.0306242042437887,0.0327206828577264,0.0320858540070986
ja,0.118696613154968,0.111381952991771,0.605797714769359,-0.0239298228142921,0.0644273003700884,0.0663630565365607,0.0591917233366363,0.0400812308806317,0.163315772751748,0.0148512484359909,0.0206837032907915,0.0239644311453069,0.0304046545764483,0.0318565008141894,0.0294910256648205,0.0309678043093687,0.0340490460626474,0.0319200100433684
ko,0.0624943139732911,-0.0340777810819721,0.514176893779094,-0.0547683352302322,0.187691598420936,0.068179302250892,0.0469367614503096,0.0295913374887487,0.212167193256342,0.0143758510519109,0.0232956068620013,0.0254964892425691,0.0326810724038827,0.0315337294782032,0.0314036460552844,0.0313814286800639,0.0334672355507171,0.0328012078023539
pt,0.136106415017728,-0.0451480349966252,0.852729581041043,-0.0632255564369429,0.141943763303035,0.0228372640153261,0.0662812327690645,-0.108912394975632,0.146572367889193,0.0158015324110021,0.0220594590211762,0.015682666011469,0.0323587769085325,0.0314062777768689,0.0299697863816127,0.0314118685586848,0.0320747922855237,0.0323139174498383
ru,0.0377896470227765,-0.00855088937265889,0.700804062632244,-0.0426669036512498,0.15862377360349,0.130446310187536,0.0881881450359532,0.00109320067106796,0.206326010772858,0.0150844176202096,0.0227940407808916,0.0207296014427121,0.0329793339656479,0.0318388269819273,0.0301527994916598,0.03110490921561,0.0343472906810137,0.0325628985077762
zh,0.0330098473631282,-0.154554564049058,0.593948370715192,-0.0255264924231421,0.126776164209837,0.0290834447340852,0.0394240411870949,-0.0542486827904693,0.142345996714591,0.0147079656338868,0.0216963828850073,0.0234187822497312,0.032200522653038,0.0304504722312892,0.0317473237173029,0.0303225912422727,0.0335781321659259,0.0324515736636819
