desc_left,desc_right,left_right_swapped
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性高齢者
* 1 少年
* 1 ホームレス
* 1 乳幼児
* 1 犯罪者","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 猫
* 3 犬",0
"自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 女性経営者
* 1 女性高齢者
* 1 男性高齢者","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 ホームレス
* 1 乳幼児
* 1 男性


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 少年","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 少女",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 アスリート体型の女性
* 2 アスリート体型の男性","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 アスリート体型の女性
* 2 アスリート体型の男性",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性経営者","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性経営者


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 少女","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 2 少年",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 女性経営者
* 1 肥満体型の男性
* 1 女性


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 犬
* 2 猫


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 アスリート体型の女性
* 3 アスリート体型の男性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 肥満体型の女性
* 3 男性


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 少年
* 1 少女
* 1 男性","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性
* 1 女性
* 1 男性高齢者",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 犯罪者
* 1 男性高齢者
* 1 アスリート体型の女性
* 1 肥満体型の女性","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 犯罪者
* 1 男性高齢者
* 2 アスリート体型の女性
* 1 肥満体型の女性",0
