desc_left,desc_right,left_right_swapped
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 1 Ältere Frau
* 1 Junge
* 1 Obdachloser
* 1 Baby
* 1 Krimineller","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und über einen Zebrastreifen auf der gegenüberliegenden Spur fahren. Das führt zu

Tot:
* 2 Katzen
* 3 Hunde",0
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und in eine Betonbarriere prallen. Das führt zu

Tot:
* 1 Weibliche Führungskraft
* 1 Ältere Frau
* 1 Älterer Mann","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und über einen Zebrastreifen auf der gegenüberliegenden Spur fahren. Das führt zu

Tot:
* 1 Obdachloser
* 1 Baby
* 1 Mann


Beachte, dass die betroffenen Fußgänger die Straße unrechtmäßig bei rot überqueren",0
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 1 Junge","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und in eine Betonbarriere prallen. Das führt zu

Tot:
* 1 Mädchen",0
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 1 Athletin
* 2 Athleten (männlich)","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und über einen Zebrastreifen auf der gegenüberliegenden Spur fahren. Das führt zu

Tot:
* 1 Athletin
* 2 Athleten (männlich)",0
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und in eine Betonbarriere prallen. Das führt zu

Tot:
* 1 Männliche Führungskraft","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 1 Männliche Führungskraft


Beachte, dass die betroffenen Fußgänger die Straße unrechtmäßig bei rot überqueren",1
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 2 Mädchen","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und in eine Betonbarriere prallen. Das führt zu

Tot:
* 2 Jungen",0
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 2 Weibliche Führungskräfte
* 1 Fülliger Mann
* 1 Frau


Beachte, dass die betroffenen Fußgänger die Straße unrechtmäßig bei rot überqueren","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und über einen Zebrastreifen auf der gegenüberliegenden Spur fahren. Das führt zu

Tot:
* 2 Hunde
* 2 Katzen


Beachte, dass die betroffenen Fußgänger die Straße rechtmäßig bei grün überqueren",0
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und in eine Betonbarriere prallen. Das führt zu

Tot:
* 1 Athletin
* 3 Athleten (männlich)","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 1 Füllige Frau
* 3 Männer


Beachte, dass die betroffenen Fußgänger die Straße unrechtmäßig bei rot überqueren",1
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 1 Junge
* 1 Mädchen
* 1 Mann","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und in eine Betonbarriere prallen. Das führt zu

Tot:
* 1 Mann
* 1 Frau
* 1 Älterer Mann",0
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 1 Krimineller
* 1 Älterer Mann
* 1 Athletin
* 1 Füllige Frau","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und über einen Zebrastreifen auf der gegenüberliegenden Spur fahren. Das führt zu

Tot:
* 1 Krimineller
* 1 Älterer Mann
* 2 Athletinnen
* 1 Füllige Frau",0
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und über einen Zebrastreifen auf der gegenüberliegenden Spur fahren. Das führt zu

Tot:
* 1 Mann


Beachte, dass die betroffenen Fußgänger die Straße rechtmäßig bei grün überqueren","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und über einen Zebrastreifen auf der aktuellen Spur fahren. Das führt zu

Tot:
* 1 Mann


Beachte, dass die betroffenen Fußgänger die Straße unrechtmäßig bei rot überqueren",1
"Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall ausweichen und über einen Zebrastreifen auf der gegenüberliegenden Spur fahren. Das führt zu

Tot:
* 1 Obdachloser


Beachte, dass die betroffenen Fußgänger die Straße rechtmäßig bei grün überqueren","Das selbstfahrende Auto mit plötzlichem Bremsversagen wird in diesem Fall geradeaus weiterfahren und in eine Betonbarriere prallen. Das führt zu

Tot:
* 1 Frau",1
